Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Revenue
i3,2022,Europe,White,Hybrid,Automatic,3.5,67206,98410,2961,Low,291392010
i3,2024,Europe,Silver,Electric,Manual,4.3,16601,117852,7390,High,870926280
i3,2018,Middle East,Grey,Diesel,Manual,4.5,194140,61441,3931,Low,241524571
7 Series,2024,South America,Black,Diesel,Manual,4.6,157743,107456,4386,Low,471302016
X5,2022,Asia,White,Hybrid,Automatic,2.3,151149,80257,8459,High,678893963
X6,2021,Europe,Black,Electric,Manual,3.9,81609,39649,2107,Low,83540443
X3,2020,South America,White,Electric,Manual,2.9,53486,95888,7954,High,762693152
X1,2018,Asia,Black,Petrol,Automatic,4.5,2329,116330,3081,Low,358412730
7 Series,2021,Europe,Grey,Electric,Automatic,1.6,43844,33429,5201,Low,173864229
i8,2020,South America,Black,Diesel,Manual,4.5,80473,74393,8836,High,657336548
3 Series,2024,Asia,Silver,Electric,Automatic,3.0,61430,39623,4018,Low,159205214
M5,2020,Europe,Black,Petrol,Automatic,3.7,108273,81327,7021,High,570996867
i8,2022,Middle East,Black,Petrol,Automatic,3.7,44316,116887,4911,Low,574032057
i3,2019,Europe,Red,Electric,Automatic,2.5,164373,101485,5041,Low,511585885
X5,2023,Middle East,Black,Hybrid,Automatic,2.1,162267,107301,2455,Low,263423955
7 Series,2024,Asia,White,Hybrid,Automatic,4.6,28882,115456,7492,High,864996352
5 Series,2019,Europe,Red,Diesel,Manual,1.9,198910,77103,943,Low,72708129
X1,2024,North America,Grey,Diesel,Manual,2.7,153588,43752,8121,High,355309992
M3,2022,North America,Red,Petrol,Manual,4.9,46313,119696,8294,High,992758624
X3,2022,Asia,Grey,Electric,Automatic,3.9,60992,109025,2153,Low,234730825
7 Series,2021,Europe,Blue,Hybrid,Automatic,1.6,106807,33258,1848,Low,61460784
X3,2020,North America,Red,Petrol,Manual,2.7,19740,33424,8343,High,278856432
X6,2021,Middle East,Red,Petrol,Manual,2.5,25636,68162,1631,Low,111172222
i3,2021,Asia,Red,Hybrid,Automatic,2.0,152260,92692,3572,Low,331095824
X5,2022,Asia,Silver,Electric,Automatic,2.8,115398,70241,8633,High,606390553
X6,2018,Europe,Silver,Electric,Automatic,4.5,180862,30906,848,Low,26208288
X5,2020,Asia,Black,Diesel,Manual,2.5,130189,51601,605,Low,31218605
i8,2022,Asia,Blue,Hybrid,Manual,3.9,130711,44017,7228,High,318154876
i3,2020,Middle East,Silver,Petrol,Automatic,4.9,84530,41040,1768,Low,72558720
i8,2022,Asia,White,Diesel,Manual,3.5,116766,83768,5712,Low,478482816
i3,2022,South America,Black,Diesel,Automatic,4.7,179143,52025,1621,Low,84332525
7 Series,2021,South America,Black,Diesel,Manual,1.5,130138,39495,292,Low,11532540
M3,2018,Middle East,Blue,Petrol,Manual,4.3,53418,54374,1410,Low,76667340
X5,2021,North America,Grey,Diesel,Automatic,3.7,137906,92820,5703,Low,529352460
M3,2024,North America,White,Diesel,Manual,3.6,133647,96262,6275,Low,604044050
i3,2022,Africa,White,Petrol,Manual,2.3,177053,46309,9599,High,444520091
i3,2020,Europe,Black,Petrol,Automatic,4.7,77510,72132,8600,High,620335200
X6,2019,North America,White,Petrol,Manual,1.9,171218,86287,5277,Low,455336499
5 Series,2019,South America,Black,Electric,Manual,2.8,1357,103756,7600,High,788545600
X5,2019,Asia,Blue,Diesel,Manual,2.2,171470,30581,3276,Low,100183356
5 Series,2020,Middle East,Black,Electric,Manual,2.0,103402,43900,7243,High,317967700
X5,2022,Africa,Silver,Diesel,Manual,3.6,76631,66247,2831,Low,187545257
X3,2021,South America,Silver,Hybrid,Automatic,3.9,163900,65060,4844,Low,315150640
M5,2018,North America,Red,Electric,Manual,4.0,149413,108742,8269,High,899187598
X3,2021,Asia,Blue,Electric,Manual,4.6,59233,102173,2212,Low,226006676
M5,2024,Europe,Silver,Hybrid,Manual,4.2,194626,87136,3783,Low,329635488
5 Series,2024,South America,White,Petrol,Manual,2.7,78205,49192,7949,High,391027208
i3,2023,North America,Red,Hybrid,Manual,3.9,86887,40765,4300,Low,175289500
M3,2020,Africa,White,Diesel,Manual,2.0,91767,119508,6311,Low,754214988
i3,2019,Europe,Blue,Hybrid,Manual,2.5,176710,113804,9429,High,1073057916
7 Series,2019,Europe,Black,Hybrid,Manual,3.3,179976,71021,496,Low,35226416
3 Series,2020,Europe,Silver,Diesel,Automatic,3.9,62140,53082,6679,Low,354534678
M3,2020,South America,Blue,Petrol,Manual,4.7,170289,33213,315,Low,10462095
X6,2020,Africa,Grey,Hybrid,Automatic,2.6,51728,106992,5982,Low,640026144
i8,2023,South America,Silver,Diesel,Manual,4.5,164914,87783,6093,Low,534861819
X3,2019,Middle East,Black,Petrol,Manual,4.3,2744,67907,2160,Low,146679120
X5,2021,Middle East,Red,Hybrid,Manual,4.8,19342,77202,7256,High,560177712
X1,2020,North America,Black,Petrol,Automatic,3.2,794,64877,6371,Low,413331367
X3,2024,Asia,Grey,Petrol,Automatic,3.4,72564,59627,290,Low,17291830
M3,2020,Middle East,Black,Petrol,Automatic,1.6,35823,69024,6821,Low,470812704
M3,2022,Middle East,Blue,Hybrid,Automatic,5.0,70128,79840,8547,High,682392480
i8,2018,Europe,White,Diesel,Manual,3.9,106462,86544,8402,High,727142688
7 Series,2021,North America,Grey,Hybrid,Automatic,4.4,157516,107820,3561,Low,383947020
X6,2019,Asia,Black,Electric,Manual,2.4,79500,42500,9894,High,420495000
X6,2023,Europe,Grey,Hybrid,Manual,1.7,179629,84555,2017,Low,170547435
X3,2021,North America,Grey,Electric,Manual,4.0,64786,85380,6305,Low,538320900
i8,2020,Asia,Silver,Electric,Automatic,4.9,86162,113872,8778,High,999568416
7 Series,2023,North America,Grey,Hybrid,Manual,4.8,179819,76460,9042,High,691351320
7 Series,2018,North America,Red,Electric,Manual,2.4,186929,115991,6025,Low,698845775
X6,2022,Africa,Red,Hybrid,Manual,4.6,152352,103764,2761,Low,286492404
M3,2018,Africa,White,Petrol,Automatic,1.8,112694,33020,309,Low,10203180
X6,2022,South America,Black,Hybrid,Manual,2.1,170104,68529,5200,Low,356350800
3 Series,2018,Middle East,Silver,Hybrid,Automatic,2.1,95267,86940,6225,Low,541201500
7 Series,2020,Europe,Grey,Diesel,Automatic,4.4,50329,114690,1502,Low,172264380
X3,2023,Europe,Red,Hybrid,Automatic,3.8,44603,56144,9114,High,511696416
M5,2019,Africa,White,Petrol,Manual,1.6,16956,101168,429,Low,43401072
i8,2020,Africa,Red,Hybrid,Automatic,2.8,44352,65517,8924,High,584673708
5 Series,2021,Middle East,Silver,Diesel,Automatic,2.4,95586,53515,7785,High,416614275
X1,2018,Middle East,White,Diesel,Automatic,2.9,194600,51033,494,Low,25210302
M3,2022,Africa,Blue,Petrol,Manual,4.1,4889,67051,8069,High,541034519
M5,2021,Asia,Black,Petrol,Automatic,2.0,157071,91921,3784,Low,347829064
X5,2020,Africa,Grey,Diesel,Automatic,1.7,139563,94929,4043,Low,383797947
5 Series,2024,South America,White,Petrol,Automatic,3.4,196765,106198,8956,High,951109288
X1,2018,Europe,Grey,Petrol,Manual,1.5,20609,89131,3455,Low,307947605
X3,2019,Middle East,Blue,Petrol,Automatic,4.3,86851,119226,916,Low,109211016
3 Series,2018,Asia,Grey,Petrol,Manual,3.3,138444,34899,4218,Low,147203982
i3,2022,South America,White,Petrol,Manual,2.8,89552,83217,9363,High,779160771
i8,2023,Europe,Grey,Petrol,Automatic,1.8,24776,86945,4832,Low,420118240
7 Series,2023,Asia,Red,Hybrid,Manual,3.3,151361,76968,4574,Low,352051632
X5,2023,North America,Blue,Petrol,Automatic,4.2,45904,118362,2250,Low,266314500
i3,2021,Asia,Silver,Electric,Manual,2.5,142925,113477,8625,High,978739125
X1,2023,Europe,Blue,Hybrid,Automatic,2.7,186306,33369,8899,High,296950731
i3,2023,Africa,Blue,Hybrid,Automatic,1.6,116196,78375,7243,High,567670125
7 Series,2022,Africa,Silver,Diesel,Automatic,2.6,190268,98219,4303,Low,422636357
i8,2022,Middle East,Black,Diesel,Manual,2.6,116518,117191,4334,Low,507905794
M5,2024,Asia,Grey,Hybrid,Manual,4.3,177252,36539,5406,Low,197529834
M5,2023,Europe,Blue,Hybrid,Manual,4.5,131451,116035,8971,High,1040949985
M5,2018,Europe,Silver,Hybrid,Automatic,1.9,53363,56656,1320,Low,74785920
i3,2019,South America,White,Diesel,Manual,4.9,113875,58888,5475,Low,322411800
i8,2020,Europe,Blue,Electric,Manual,1.5,186317,53029,7999,High,424178971
7 Series,2024,Asia,Red,Hybrid,Automatic,2.9,131069,95934,3929,Low,376924686
7 Series,2019,Europe,Red,Petrol,Manual,3.9,38273,58781,9590,High,563709790
3 Series,2018,North America,White,Hybrid,Manual,3.2,5089,98161,3314,Low,325305554
i8,2019,Africa,Black,Hybrid,Manual,2.1,104010,54241,208,Low,11282128
i8,2018,South America,Silver,Diesel,Manual,2.4,38880,89741,6978,Low,626212698
3 Series,2019,Asia,Black,Hybrid,Manual,3.1,15294,31102,1027,Low,31941754
X1,2019,Middle East,Black,Hybrid,Automatic,3.9,128515,37787,3483,Low,131612121
3 Series,2018,North America,Blue,Petrol,Automatic,2.8,168835,112587,9724,High,1094795988
M5,2022,Middle East,Red,Diesel,Automatic,3.3,22180,106270,8432,High,896068640
7 Series,2020,Africa,Silver,Electric,Automatic,3.0,163766,81255,5339,Low,433820445
X5,2021,North America,Grey,Diesel,Manual,3.2,189006,54423,7733,High,420853059
X3,2021,South America,Blue,Electric,Automatic,1.8,167243,115630,6770,Low,782815100
X3,2020,South America,Blue,Electric,Automatic,3.5,188115,115467,1955,Low,225737985
5 Series,2019,Asia,Blue,Diesel,Automatic,1.5,114615,45338,5780,Low,262053640
7 Series,2023,South America,White,Electric,Manual,2.8,187321,118815,4653,Low,552846195
X5,2018,North America,White,Hybrid,Manual,2.7,148428,81078,5242,Low,425010876
5 Series,2022,Middle East,Blue,Hybrid,Manual,3.4,186008,55944,5209,Low,291412296
X3,2022,North America,White,Diesel,Manual,3.2,84957,55573,1131,Low,62853063
X1,2020,Middle East,Silver,Hybrid,Automatic,1.7,119921,72855,1041,Low,75842055
5 Series,2020,Middle East,White,Diesel,Manual,4.2,102337,72107,152,Low,10960264
X3,2020,Middle East,White,Electric,Automatic,3.3,114998,54840,1410,Low,77324400
M3,2023,Africa,Black,Electric,Manual,3.8,10857,62228,614,Low,38207992
X5,2018,Africa,Blue,Petrol,Automatic,4.2,151908,110928,209,Low,23183952
3 Series,2021,Middle East,Blue,Hybrid,Manual,2.9,15264,68793,7426,High,510856818
5 Series,2021,Europe,Grey,Hybrid,Automatic,4.3,48432,64934,2073,Low,134608182
X3,2022,Asia,Blue,Hybrid,Automatic,2.4,62115,100698,8064,High,812028672
X1,2024,North America,Grey,Petrol,Automatic,1.9,68065,118132,5587,Low,660003484
X6,2020,Africa,Black,Electric,Automatic,1.6,128145,34136,3703,Low,126405608
M5,2020,Middle East,Blue,Petrol,Automatic,1.8,11171,56923,4512,Low,256836576
5 Series,2024,South America,Grey,Petrol,Automatic,2.6,191511,106129,4051,Low,429928579
5 Series,2023,North America,Black,Diesel,Automatic,1.7,96009,39504,8967,High,354232368
5 Series,2019,Middle East,Grey,Electric,Automatic,2.3,95884,75475,8434,High,636556150
M5,2018,Africa,Grey,Electric,Automatic,2.8,122981,86872,5167,Low,448867624
X6,2023,Europe,Red,Petrol,Automatic,5.0,191673,61766,6816,Low,420997056
M5,2023,Middle East,Grey,Electric,Automatic,2.5,5381,119216,7647,High,911644752
5 Series,2020,Asia,White,Diesel,Automatic,2.3,8969,67601,8781,High,593604381
7 Series,2021,Europe,Grey,Hybrid,Manual,2.9,160076,105622,3525,Low,372317550
X1,2021,Asia,Black,Petrol,Manual,4.7,106863,71180,9061,High,644961980
M5,2023,Middle East,Silver,Hybrid,Automatic,2.7,128930,67459,4194,Low,282923046
7 Series,2019,Africa,Black,Petrol,Automatic,3.3,89360,74840,2242,Low,167791280
M3,2024,Asia,Grey,Diesel,Automatic,2.3,170465,99929,9276,High,926941404
i8,2022,Asia,White,Diesel,Automatic,1.6,41859,32833,3709,Low,121777597
X1,2024,Middle East,Black,Petrol,Manual,3.4,53162,36052,699,Low,25200348
7 Series,2019,Middle East,Blue,Diesel,Automatic,3.9,27550,112657,1423,Low,160310911
i8,2019,Africa,Red,Petrol,Automatic,1.6,179986,116072,1195,Low,138706040
3 Series,2019,South America,Red,Petrol,Manual,1.5,88563,97900,5485,Low,536981500
i8,2022,North America,Grey,Electric,Automatic,2.4,45604,61584,724,Low,44586816
X3,2021,South America,Blue,Electric,Automatic,1.9,113648,85926,4414,Low,379277364
X3,2024,Europe,Grey,Petrol,Automatic,2.7,30491,60217,3666,Low,220755522
5 Series,2023,Africa,Black,Hybrid,Manual,3.3,52023,117409,9959,High,1169276231
X3,2023,Asia,Black,Petrol,Manual,1.8,64022,58746,7212,High,423676152
M5,2018,Europe,Black,Electric,Manual,3.1,144126,65432,5797,Low,379309304
M5,2019,Europe,Blue,Hybrid,Automatic,2.8,85920,72145,7659,High,552558555
5 Series,2019,Asia,Red,Petrol,Automatic,5.0,142971,115229,7618,High,877814522
M3,2021,South America,Silver,Electric,Automatic,2.9,182275,45309,5329,Low,241451661
3 Series,2023,Middle East,Silver,Hybrid,Manual,3.2,154046,34375,2854,Low,98106250
X6,2020,Africa,Grey,Hybrid,Manual,4.6,91307,84866,2431,Low,206309246
M5,2018,North America,White,Petrol,Manual,2.3,146550,116263,6031,Low,701182153
X6,2021,Asia,White,Electric,Manual,2.5,93382,103490,8013,High,829265370
X6,2022,Africa,Red,Hybrid,Automatic,5.0,150346,104918,2895,Low,303737610
5 Series,2020,Middle East,Black,Electric,Manual,3.7,53205,66248,3918,Low,259559664
X3,2023,South America,Blue,Hybrid,Automatic,4.6,76231,72581,8520,High,618390120
M5,2024,North America,Silver,Diesel,Automatic,3.9,88858,80152,6234,Low,499667568
3 Series,2021,Middle East,Grey,Hybrid,Automatic,2.8,3849,102937,2910,Low,299546670
7 Series,2020,Middle East,Blue,Hybrid,Manual,4.2,180894,50751,6732,Low,341655732
X1,2021,South America,Blue,Diesel,Manual,4.0,22796,105620,1357,Low,143326340
X1,2019,Middle East,Black,Hybrid,Manual,4.3,35580,45815,1820,Low,83383300
X6,2021,Asia,Silver,Petrol,Manual,4.4,182214,61682,837,Low,51627834
X1,2020,Middle East,Black,Hybrid,Automatic,2.4,39723,99331,4606,Low,457518586
i3,2024,Europe,Red,Diesel,Automatic,4.1,185547,63005,7733,High,487217665
i3,2019,Asia,Silver,Hybrid,Automatic,2.2,15748,97017,4064,Low,394277088
X5,2020,Africa,Blue,Electric,Automatic,3.4,150117,91702,8044,High,737650888
X5,2020,Europe,Black,Hybrid,Automatic,3.4,82265,37394,9177,High,343164738
7 Series,2022,South America,Silver,Petrol,Automatic,3.4,100257,54918,293,Low,16090974
i8,2021,Europe,Grey,Hybrid,Automatic,2.8,123366,83773,4012,Low,336097276
3 Series,2024,Africa,Red,Diesel,Manual,2.7,193050,110056,3667,Low,403575352
X5,2019,Europe,Grey,Petrol,Manual,1.8,159660,118315,8704,High,1029813760
i3,2018,North America,Red,Petrol,Automatic,2.6,156555,91109,4443,Low,404797287
X5,2018,South America,Silver,Electric,Automatic,2.3,72577,53137,5873,Low,312073601
M5,2020,Africa,Silver,Electric,Manual,2.1,29567,98075,8096,High,794015200
i3,2024,Europe,Silver,Hybrid,Manual,4.6,42292,115191,2389,Low,275191299
X6,2023,North America,White,Hybrid,Manual,4.6,73809,111678,367,Low,40985826
M3,2021,Asia,Red,Diesel,Automatic,2.9,93189,99210,8838,High,876817980
X3,2021,Africa,Black,Petrol,Automatic,1.7,11997,65128,313,Low,20385064
3 Series,2018,Middle East,Silver,Electric,Automatic,4.6,82040,55300,4649,Low,257089700
i3,2019,Europe,Black,Diesel,Manual,5.0,19082,99821,4129,Low,412160909
i8,2022,Asia,Silver,Petrol,Automatic,4.4,149094,77111,209,Low,16116199
M5,2019,Europe,Blue,Electric,Automatic,3.6,25925,74317,3975,Low,295410075
3 Series,2020,Middle East,Red,Petrol,Manual,2.1,122824,106594,7198,High,767263612
M5,2019,Middle East,Black,Petrol,Automatic,3.5,106231,58819,4461,Low,262391559
5 Series,2020,Middle East,Black,Hybrid,Manual,2.7,152483,73813,3419,Low,252366647
X1,2019,North America,White,Electric,Automatic,3.6,150712,36358,7176,High,260905008
M3,2024,South America,Red,Electric,Automatic,3.9,2667,41383,3049,Low,126176767
M3,2022,Africa,Red,Diesel,Manual,3.2,120255,49077,955,Low,46868535
M3,2020,North America,Silver,Hybrid,Automatic,3.0,145908,78064,8845,High,690476080
i3,2024,North America,Black,Electric,Manual,4.0,193514,59059,4533,Low,267714447
M5,2019,Africa,Grey,Hybrid,Automatic,3.8,125829,66185,4885,Low,323313725
X1,2021,Africa,Grey,Diesel,Automatic,3.8,115352,69295,7798,High,540362410
i8,2022,Asia,Grey,Electric,Manual,4.7,103449,54843,8671,High,475543653
3 Series,2024,North America,Silver,Electric,Automatic,5.0,67906,55809,6077,Low,339151293
M3,2021,Africa,Silver,Electric,Manual,2.1,172744,39322,4618,Low,181588996
7 Series,2024,South America,Blue,Electric,Manual,3.1,60785,102503,4625,Low,474076375
M5,2022,Europe,Black,Hybrid,Automatic,3.7,92934,69435,6215,Low,431538525
i3,2022,North America,White,Electric,Automatic,3.1,114468,80002,7291,High,583294582
i8,2019,Asia,Blue,Electric,Manual,3.4,174316,95449,9112,High,869731288
3 Series,2024,Africa,Black,Hybrid,Automatic,5.0,49783,36968,7198,High,266095664
X3,2022,Europe,Red,Electric,Automatic,2.7,36310,30852,3863,Low,119181276
X6,2022,North America,Silver,Electric,Automatic,3.2,83230,41946,4749,Low,199201554
7 Series,2018,Africa,Grey,Electric,Automatic,3.8,51873,86708,3612,Low,313189296
X5,2021,Asia,Grey,Diesel,Automatic,4.0,163991,85863,6176,Low,530289888
5 Series,2023,South America,Blue,Electric,Automatic,4.5,36793,39263,3162,Low,124149606
3 Series,2022,Middle East,Black,Petrol,Manual,2.9,38601,37942,5803,Low,220177426
3 Series,2018,Africa,Black,Diesel,Automatic,4.1,182586,110822,7205,High,798472510
i8,2024,Europe,Silver,Petrol,Automatic,4.9,18199,97642,2866,Low,279841972
X6,2018,North America,White,Petrol,Manual,4.0,156925,90624,9921,High,899080704
7 Series,2021,Asia,Black,Diesel,Manual,2.3,121208,41473,210,Low,8709330
X5,2019,Middle East,Blue,Electric,Automatic,3.0,57173,83542,8853,High,739597326
i8,2020,Asia,Black,Petrol,Manual,4.1,80162,38743,353,Low,13676279
3 Series,2023,Africa,White,Electric,Manual,3.7,117431,60085,7721,High,463916285
M3,2018,Europe,Black,Electric,Automatic,4.1,100196,74935,7964,High,596782340
7 Series,2021,South America,Grey,Electric,Manual,3.2,55187,67447,8059,High,543555373
X1,2018,Europe,Blue,Petrol,Automatic,1.9,166538,62472,5873,Low,366898056
i3,2021,Africa,Silver,Electric,Automatic,2.4,103767,102110,1536,Low,156840960
X6,2019,South America,Red,Hybrid,Automatic,4.2,9169,46122,5616,Low,259021152
i8,2023,Asia,Black,Diesel,Automatic,2.1,12698,66627,8265,High,550672155
i8,2023,Asia,Grey,Diesel,Manual,3.1,30132,99551,8754,High,871469454
5 Series,2018,Asia,Red,Petrol,Automatic,3.8,133382,92095,4835,Low,445279325
X6,2018,North America,Silver,Diesel,Automatic,5.0,41556,60232,2861,Low,172323752
X1,2020,Europe,Black,Electric,Manual,4.0,157767,117810,2395,Low,282154950
3 Series,2024,Middle East,Silver,Diesel,Automatic,4.2,95572,103551,2770,Low,286836270
X5,2020,Asia,Grey,Diesel,Automatic,4.8,150107,107238,9557,High,1024873566
3 Series,2018,Europe,Grey,Electric,Manual,3.1,92129,72269,4312,Low,311623928
X6,2023,Middle East,Silver,Hybrid,Automatic,3.1,191595,36543,5165,Low,188744595
5 Series,2022,Asia,Black,Petrol,Automatic,3.8,48362,86036,4219,Low,362985884
X3,2020,South America,Silver,Electric,Automatic,4.2,47268,44805,8688,High,389265840
X5,2023,Europe,Grey,Electric,Automatic,4.5,1242,45692,8005,High,365764460
X3,2021,South America,Red,Electric,Manual,3.1,71592,89912,4210,Low,378529520
7 Series,2020,Africa,White,Diesel,Manual,4.9,103614,39540,2291,Low,90586140
X3,2021,Africa,White,Diesel,Automatic,2.3,187486,59744,4382,Low,261798208
X6,2024,North America,Grey,Petrol,Manual,2.3,110974,78534,2578,Low,202460652
M5,2018,Middle East,Black,Hybrid,Automatic,4.0,199682,50414,5188,Low,261547832
M3,2021,Africa,Blue,Petrol,Manual,2.1,79961,116184,7489,High,870101976
X3,2020,Europe,White,Diesel,Automatic,2.1,116933,101799,1344,Low,136817856
7 Series,2024,North America,Grey,Petrol,Automatic,3.5,104083,84529,5091,Low,430337139
X5,2018,Europe,Red,Diesel,Manual,2.8,183474,94453,5877,Low,555100281
i3,2021,Europe,Blue,Diesel,Automatic,4.2,37132,104592,8322,High,870414624
7 Series,2023,Africa,White,Petrol,Automatic,2.4,97108,85845,9727,High,835014315
7 Series,2018,South America,Silver,Hybrid,Manual,3.0,67507,39561,7651,High,302681211
3 Series,2019,Africa,White,Hybrid,Automatic,4.9,134425,75001,6559,Low,491931559
X1,2023,Middle East,Silver,Diesel,Manual,1.8,36273,44449,9301,High,413420149
7 Series,2022,Middle East,Blue,Hybrid,Automatic,4.0,151792,98056,8805,High,863383080
X1,2022,Middle East,Grey,Diesel,Automatic,2.9,1290,39328,8419,High,331102432
X5,2018,Middle East,Grey,Electric,Manual,4.8,43106,107631,9242,High,994725702
i3,2024,Asia,Grey,Diesel,Automatic,2.2,135056,70320,2088,Low,146828160
i8,2019,Middle East,Red,Diesel,Automatic,2.1,108615,110379,6723,Low,742078017
X1,2022,North America,Red,Petrol,Automatic,2.3,40558,106767,6657,Low,710747919
5 Series,2024,Middle East,Grey,Diesel,Manual,3.5,95126,119652,7023,High,840315996
5 Series,2024,Africa,Grey,Electric,Manual,3.9,96238,68544,4002,Low,274313088
X6,2021,Africa,Silver,Electric,Manual,3.5,182574,100602,6675,Low,671518350
X6,2024,South America,Grey,Petrol,Automatic,3.8,111694,55996,4692,Low,262733232
X6,2022,South America,Grey,Diesel,Manual,1.9,167631,31098,6061,Low,188484978
i3,2024,Asia,Grey,Electric,Automatic,2.7,134175,46994,126,Low,5921244
7 Series,2018,Africa,Grey,Petrol,Automatic,4.9,134375,113745,9896,High,1125620520
X3,2020,South America,Silver,Petrol,Automatic,2.5,62637,81818,2002,Low,163799636
X1,2019,Middle East,Red,Hybrid,Automatic,3.5,3687,36775,6220,Low,228740500
i3,2023,North America,Red,Diesel,Manual,2.9,125629,101075,1838,Low,185775850
X1,2023,Europe,Red,Hybrid,Automatic,4.3,118947,70487,5879,Low,414393073
i8,2022,Asia,Blue,Diesel,Manual,2.2,184624,64503,9319,High,601103457
i3,2021,North America,Red,Electric,Automatic,3.2,166212,61511,1703,Low,104753233
M5,2018,South America,Red,Hybrid,Automatic,3.9,71077,83481,2254,Low,188166174
M3,2020,Africa,Blue,Petrol,Automatic,3.0,113247,100582,8403,High,845190546
5 Series,2021,Africa,Grey,Electric,Manual,4.8,110110,82008,3172,Low,260129376
i8,2021,South America,Blue,Hybrid,Manual,3.1,52506,72134,2289,Low,165114726
X5,2021,Europe,Red,Petrol,Automatic,2.0,151704,92429,5557,Low,513627953
X1,2021,North America,Blue,Electric,Manual,2.1,5553,95518,5009,Low,478449662
5 Series,2020,Middle East,Grey,Petrol,Manual,2.8,8545,44711,8982,High,401594202
X3,2021,Middle East,Grey,Electric,Automatic,3.9,167413,86686,6558,Low,568486788
X5,2020,North America,White,Petrol,Automatic,3.5,49331,39583,5335,Low,211175305
M5,2022,Middle East,Silver,Electric,Automatic,4.2,105959,44014,5174,Low,227728436
X6,2023,South America,Blue,Diesel,Automatic,4.2,194598,58269,6954,Low,405202626
5 Series,2019,Asia,Blue,Diesel,Manual,4.7,145002,62920,1093,Low,68771560
M5,2024,Europe,White,Petrol,Automatic,3.6,58063,74281,6999,Low,519892719
X3,2022,South America,Red,Diesel,Manual,3.2,66382,107349,8999,High,966033651
i3,2023,North America,Red,Petrol,Manual,4.1,7035,47550,2504,Low,119065200
X5,2021,Middle East,Grey,Electric,Manual,1.8,54798,105050,4652,Low,488692600
5 Series,2021,North America,Red,Electric,Automatic,3.0,114124,55376,2082,Low,115292832
7 Series,2021,Europe,Red,Electric,Manual,3.8,191368,30279,2850,Low,86295150
M3,2022,Asia,Blue,Hybrid,Manual,2.2,192467,67376,8059,High,542983184
X6,2023,North America,Blue,Electric,Automatic,4.0,145020,104302,4236,Low,441823272
X5,2021,South America,Grey,Electric,Manual,1.9,174767,108985,1179,Low,128493315
3 Series,2019,Asia,Black,Hybrid,Automatic,3.6,165280,70658,5030,Low,355409740
i3,2018,Europe,Blue,Diesel,Manual,4.1,101812,86951,628,Low,54605228
i3,2018,South America,Red,Hybrid,Manual,3.2,32464,111880,2891,Low,323445080
X3,2020,Asia,Grey,Hybrid,Manual,2.1,145823,101187,5027,Low,508667049
i3,2020,Africa,White,Diesel,Automatic,4.5,21390,30395,7238,High,219999010
X6,2023,South America,Grey,Electric,Manual,2.8,151819,82065,5250,Low,430841250
X6,2022,Africa,Red,Diesel,Automatic,2.7,99216,102153,8844,High,903441132
5 Series,2020,South America,White,Petrol,Automatic,4.5,24201,36782,6108,Low,224664456
X1,2024,Middle East,Silver,Electric,Manual,4.1,179931,62639,9371,High,586990069
X3,2018,North America,Red,Diesel,Manual,2.4,68019,37076,6065,Low,224865940
M3,2020,Middle East,White,Hybrid,Automatic,4.0,46193,93110,9549,High,889107390
X5,2022,Europe,Red,Hybrid,Automatic,2.1,85992,64079,3572,Low,228890188
X6,2021,Europe,Silver,Diesel,Automatic,2.0,100813,34677,465,Low,16124805
M3,2024,North America,Black,Hybrid,Manual,1.7,188710,46533,748,Low,34806684
i3,2019,Asia,Blue,Hybrid,Manual,3.8,177369,43971,4455,Low,195890805
M5,2020,Europe,Red,Petrol,Automatic,4.0,146504,72034,7299,High,525776166
7 Series,2020,Europe,White,Electric,Manual,3.7,101042,74844,4532,Low,339193008
M5,2018,Africa,Grey,Diesel,Automatic,1.8,131151,49185,4342,Low,213561270
X1,2022,South America,White,Diesel,Automatic,4.2,59603,58996,4391,Low,259051436
M3,2018,Africa,Black,Diesel,Manual,3.6,20870,116248,7399,High,860118952
7 Series,2024,North America,Blue,Electric,Automatic,4.7,27682,90600,1895,Low,171687000
X5,2019,Asia,Grey,Electric,Automatic,3.9,32606,93356,205,Low,19137980
3 Series,2022,Asia,White,Diesel,Automatic,2.6,169602,79324,7992,High,633957408
3 Series,2022,Asia,White,Petrol,Manual,1.6,52008,35513,8324,High,295610212
M3,2021,Middle East,Black,Diesel,Automatic,2.2,1981,115424,3894,Low,449461056
X1,2021,North America,White,Petrol,Manual,4.1,124213,33042,8729,High,288423618
X1,2018,Asia,White,Hybrid,Automatic,2.7,76375,100107,6927,Low,693441189
X6,2018,Middle East,White,Hybrid,Automatic,4.1,58010,104339,5207,Low,543293173
5 Series,2019,North America,Blue,Hybrid,Automatic,4.4,19212,72580,1474,Low,106982920
X1,2018,Middle East,Red,Petrol,Manual,3.7,166885,108336,6190,Low,670599840
X5,2020,South America,Silver,Hybrid,Automatic,4.5,87609,113180,7227,High,817951860
M3,2018,Africa,White,Electric,Automatic,4.1,40900,43625,4551,Low,198537375
X5,2022,North America,Blue,Hybrid,Automatic,3.3,146587,78685,9485,High,746327225
5 Series,2022,Africa,Blue,Electric,Automatic,4.4,54505,109342,6003,Low,656380026
